ÐòºÅ,Ê±¼ä,½ø³Ì(PID),IOÀàÐÍ,COM¿Ú,Êý¾Ý³¤¶È,Êý¾Ý,
1,13:48:18.626,esptool.exe(5072),IRP_MJ_CREATE,COM10,0,,
2,13:48:18.627,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	9600,
3,13:48:18.627,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
4,13:48:18.628,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
5,13:48:18.779,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
6,13:48:18.779,esptool.exe(5072),IRP_MJ_WRITE,COM10,46,	C0 00 08 24 00 00 00 00 00 07 07 12 20 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 C0  | ¨¤\#0\#8$\#0\#0\#0\#0\#0\#7\#7\#18 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU¨¤,
7,13:48:18.881,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
8,13:48:18.931,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
9,13:48:18.931,esptool.exe(5072),IRP_MJ_WRITE,COM10,46,	C0 00 08 24 00 00 00 00 00 07 07 12 20 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 C0  | ¨¤\#0\#8$\#0\#0\#0\#0\#0\#7\#7\#18 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU¨¤,
10,13:48:18.932,esptool.exe(5072),IRP_MJ_READ,COM10,1,	C0  | ¨¤,
11,13:48:18.939,esptool.exe(5072),IRP_MJ_READ,COM10,31,	01 08 04 00 12 20 55 55 00 00 00 00 C0 C0 01 08 04 00 12 20 55 55 00 00 00 00 C0 C0 01 08 04  | \#1\#8\#4\#0\#18 UU\#0\#0\#0\#0¨¤¨¤\#1\#8\#4\#0\#18 UU\#0\#0\#0\#0¨¤¨¤\#1\#8\#4,
12,13:48:18.939,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
13,13:48:18.939,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
14,13:48:18.940,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
15,13:48:18.940,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
16,13:48:18.940,esptool.exe(5072),IRP_MJ_READ,COM10,1,	00  | \#0,
17,13:48:18.941,esptool.exe(5072),IRP_MJ_READ,COM10,31,	12 20 55 55 00 00 00 00 C0 C0 01 08 04 00 12 20 55 55 00 00 00 00 C0 C0 01 08 04 00 12 20 55  | \#18 UU\#0\#0\#0\#0¨¤¨¤\#1\#8\#4\#0\#18 UU\#0\#0\#0\#0¨¤¨¤\#1\#8\#4\#0\#18 U,
18,13:48:18.941,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
19,13:48:18.942,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
20,13:48:18.943,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
21,13:48:18.943,esptool.exe(5072),IOCTL_SET_BAUD_RATE    ,COM10,4,	115200,
22,13:48:18.943,esptool.exe(5072),IRP_MJ_READ,COM10,1,	55  | U,
